B,T,Mal,Fre,Op,Total
260,330,4.58453,0.000446527,7.1929e-05,4.58505
460,210,4.47768,0.000587813,8.1071e-05,4.47835
20,20,4.49589,0.000155655,3.0975e-05,4.49607
20,10,4.50883,0.000156785,2.9824e-05,4.50902
370,390,4.50535,0.000867945,0.000134374,4.50635
370,230,4.48544,0.000476638,7.0471e-05,4.48599
290,210,4.50535,0.000391522,5.7317e-05,4.5058
200,110,0.067072,0.000278955,3.2363e-05,0.0673833
200,460,0.0778696,0.000556686,7.9405e-05,0.0785057
140,490,4.50246,0.000391241,5.8645e-05,4.50291
10,430,4.47372,0.000173186,3.0472e-05,4.47392
490,440,4.48686,0.00111519,0.000172634,4.48815
280,360,4.49159,0.0005963,8.3584e-05,4.49227
480,410,4.50106,0.00107955,0.000162576,4.5023
130,130,0.0762463,0.000442001,3.6076e-05,0.0767243
20,210,4.57234,0.00254569,3.4878e-05,4.57492
490,480,4.50862,0.00123216,0.000186165,4.51004
470,190,4.50536,0.000573308,7.4472e-05,4.50601
240,100,4.55821,0.000240153,3.2111e-05,4.55848
10,100,0.0948402,0.000192973,3.3367e-05,0.0950665
260,20,4.46597,0.000167524,2.8527e-05,4.46617
300,490,4.53862,0.000863379,0.000120999,4.53961
170,320,4.49699,0.000363858,4.3408e-05,4.4974
210,500,4.49294,0.000608327,8.791e-05,4.49363
220,320,4.48269,0.00040128,5.8652e-05,4.48315
510,320,4.49716,0.000916058,0.00013107,4.4982
470,70,4.47566,0.000269639,3.3822e-05,4.47597
230,290,4.50264,0.000469303,5.5777e-05,4.50317
430,200,4.48845,0.000493824,6.4113e-05,4.48901
450,160,4.48109,0.00041407,5.923e-05,4.48156
360,290,4.48983,0.000634366,8.7625e-05,4.49055
260,280,4.51314,0.000412069,5.9879e-05,4.51361
420,270,4.54074,0.000654045,9.4639e-05,4.54149
490,490,4.49525,0.00122123,0.000193653,4.49667
330,130,4.49115,0.000312998,3.9577e-05,4.4915
210,170,4.49011,0.000282889,3.441e-05,4.49043
440,40,4.47484,0.000210047,3.0609e-05,4.47508
390,410,4.50171,0.000927131,0.00013164,4.50277
480,250,4.4943,0.000713512,9.269e-05,4.4951
